D	dlog
23.3	0.015625
24.1	0.015625
25.0	0.015625
25.9	0.015625
26.9	0.015625
27.9	0.015625
28.9	0.015625
30.0	0.015625
31.1	0.015625
32.2	0.015625
33.4	0.015625
34.6	0.015625
35.9	0.015625
37.2	0.015625
38.5	0.015625
40.0	0.015625
41.4	0.015625
42.9	0.015625
44.5	0.015625
46.1	0.015625
47.8	0.015625
49.6	0.015625
51.4	0.015625
53.3	0.015625
55.2	0.015625
57.3	0.015625
59.4	0.015625
61.5	0.015625
63.8	0.015625
66.1	0.015625
68.5	0.015625
71.0	0.015625
73.7	0.015625
76.4	0.015625
79.1	0.015625
82.0	0.015625
85.1	0.015625
88.2	0.015625
91.4	0.015625
94.7	0.015625
98.2	0.015625
101.8	0.015625
105.5	0.015625
109.4	0.015625
113.4	0.015625
117.6	0.015625
121.9	0.015625
126.3	0.015625
131.0	0.015625
135.8	0.015625
140.7	0.015625
145.9	0.015625
151.2	0.015625
156.8	0.015625
162.5	0.015625
168.5	0.015625
174.7	0.015625
181.1	0.015625
187.7	0.015625
194.6	0.015625
201.7	0.015625
209.1	0.015625
216.7	0.015625
224.7	0.015625
232.9	0.015625
241.4	0.015625
250.3	0.015625
259.5	0.015625
269.0	0.015625
278.8	0.015625
289.0	0.015625
299.6	0.015625
310.6	0.015625
322.0	0.015625
333.8	0.015625
346.0	0.015625
358.7	0.015625
371.8	0.015625
385.4	0.015625
399.5	0.015625
414.2	0.015625
429.4	0.015625
445.1	0.015625
461.4	0.015625
478.3	0.015625
495.8	0.015625
514.0	0.015625
532.8	0.015625
552.3	0.015625
572.5	0.015625
593.5	0.015625
615.3	0.015625
637.8	0.015625
661.2	0.015625
685.4	0.015625
710.5	0.015625
736.5	0.015625
763.5	0.015625
791.5	0.015625
820.5	0.015625
850.5	0.015625
881.7	0.015625
914.0	0.015625
947.5	0.015625
982.2	0.015625
